,month,day,mean_2016,mean_2017,mean_2018
0,1,1,0.14359331938397898,,
1,1,3,,,0.1596630101442005
2,1,5,,0.15912027210898552,0.15102946957404045
3,1,8,,,0.15044356171066542
4,1,10,,,0.14745147443511997
5,1,14,0.1395974506210948,,
6,1,15,,0.169938177808783,0.14800523146569317
7,1,18,,0.16390439591630301,0.15036113516525107
8,1,30,,,0.15879504585000356
9,1,31,0.14059192241953147,,
10,2,4,,,0.14762867127671123
11,2,7,,0.15780072493914932,0.14535611129851156
12,2,9,,,0.14340088575280407
13,2,10,0.14441783263527874,,
14,2,12,,,0.14725177463554465
15,2,13,0.14787188053100858,,
16,2,14,,,0.14348801206972994
17,2,17,,0.16060961512719746,
18,2,19,,,0.14420455428941015
19,2,22,,,0.15691035814146825
20,2,24,,0.15293416247105684,
21,2,27,,,0.1558422631692235
22,3,6,,0.15573231838325344,
23,3,11,,,0.15018435316750794
24,3,14,0.15993839970625226,,0.15416119881107676
25,3,16,,0.16034776582145235,0.1498499003872584
26,3,19,,,0.1487343850232914
27,3,24,,,0.15288023497392134
28,3,29,,,0.14621319359760038
29,3,31,,,0.14501580812733605
30,4,5,,0.14696756210386133,0.14705242620038028
31,4,8,,,0.14565486881644962
32,4,10,,,0.14115082340715251
33,4,13,0.14059056152505922,,0.11114909444872872
34,4,15,,,0.15113345544275697
35,4,18,,0.14697599419476548,0.14894374047815562
36,4,20,0.10744908688536746,,
37,4,23,,,0.1484559028549951
38,4,25,,0.14753281242323252,0.14669475628040088
39,4,28,,,0.1431558352688534
40,5,3,,,0.14489121911875516
41,5,5,,0.15424225482058282,0.13815885639986042
42,5,8,,0.15410432209359262,0.14284148472472252
43,5,13,0.15572668783015925,,0.1445618746567302
44,5,15,,0.15468324909357412,0.14058550096928285
45,5,18,,,0.13800269910021493
46,5,20,0.1559494402660767,,0.141662950514012
47,5,23,,,0.14325381567025333
48,5,25,,0.17886152230519994,
49,5,28,,0.1943161880745318,
50,5,30,0.17336619188024566,,
51,6,2,0.1585177515349636,,0.1435965281391358
52,6,4,,0.2590611475648874,0.14307001856349527
53,6,7,,,0.14597220476143874
54,6,12,,,0.1467674296957026
55,6,14,,0.44814362335870106,0.14261966917206725
56,6,17,,0.5545502209721923,0.1424864789014859
57,6,19,,,0.14936556501098083
58,6,22,,,0.14493968025375775
59,6,24,,0.6517807111216356,0.14058937050287384
60,6,29,0.35043385553371537,,0.1269568814545259
61,7,2,,0.7560778081398083,
62,7,4,,0.7540100795863027,0.13382570737534039
63,7,7,,0.7772595469267917,0.13004339843170193
64,7,9,0.4196928705341554,0.7824138654735746,0.13111402073018952
65,7,14,,,0.13218994781367224
66,7,17,,,0.1295336508059901
67,7,19,0.5270602591166864,0.4160679100553063,0.12983526074062812
68,7,22,,0.8294329646276293,0.13470777869722067
69,7,24,,0.8218004542022662,0.12994742724233246
70,7,27,,0.8349656425122716,0.13169722741146803
71,7,29,0.5850672399047399,0.8273639079976638,
72,8,1,0.5993803170025721,,0.1377016172186734
73,8,3,,0.7347523263043905,0.1343875062057743
74,8,8,0.6509933784016109,0.8260300656209474,0.14096924767910304
75,8,11,,0.8347487051831592,0.13801166515111662
76,8,13,,0.828217941050293,0.13854251431797857
77,8,16,,0.8264746593434877,0.13609454626537687
78,8,18,0.6969332979189584,0.8172686870255794,0.13897762145015943
79,8,21,0.7153805404390672,,0.14269057907371926
80,8,23,,0.8021888863151567,0.13726473228040845
81,8,28,0.7355051109362041,,0.15164983010000216
82,8,31,,0.8053803138523565,0.1521938194669817
83,9,2,,0.7778813057866864,0.14893635157227036
84,9,5,,0.7861648409899828,
85,9,7,0.7400786717670433,0.7583517885310759,
86,9,10,0.7385036095204043,,0.1673953994943017
87,9,12,,,0.17825493148725344
88,9,15,,,0.17754484821070377
89,9,17,,,0.17401841929883868
90,9,22,,0.5800790503605643,0.19284417362136697
91,9,25,,0.5020540619243443,
92,9,27,0.7101937652697217,,0.22078374340709228
93,9,30,,,0.2235706628042196
94,10,2,,,0.22748284445481087
95,10,7,0.631015585546465,,
96,10,10,,,0.27612833339852055
97,10,15,,,0.31140605482533545
98,10,17,,,0.3293194861878806
99,10,20,0.48912422900803576,,
100,10,22,,,0.38402148939761205
101,10,27,0.40429346097942487,0.1487468553513553,
102,11,1,,0.15211866355286632,
103,11,4,,0.16324963299354506,
104,11,6,0.29066255655414,0.1675762138468631,
105,11,9,,0.15611007614735878,
106,11,11,,0.15167434435437344,
107,11,16,0.21498891232366746,,
108,11,19,0.20895626984287807,,
109,11,24,,0.15492889270420812,
110,11,26,0.19324369034973582,,
111,12,6,,0.1434824562641052,
112,12,9,,0.150065356244721,
113,12,11,,0.1436074410978637,
114,12,14,,0.14784245554542597,
115,12,16,,0.14468996868505493,
116,12,19,0.13842434258981975,0.1384987809386063,
117,12,26,0.15932566209382237,0.1606051820469816,
118,12,29,0.15848348370403667,0.15548720895258833,
